Code,Name,Geography,Year,Population
E09000021,Kingston upon Thames,London Borough,2019,169797
E09000024,Merton,London Borough,2019,217219
E09000026,Redbridge,London Borough,2019,311780
E09000027,Richmond upon Thames,London Borough,2019,198185
E09000029,Sutton,London Borough,2019,208516
E09000031,Waltham Forest,London Borough,2019,281015
E09000007,Camden,London Borough,2018,217915
E09000001,City of London,London Borough,2018,8165
E09000012,Hackney,London Borough,2018,266210
E09000013,Hammersmith and Fulham,London Borough,2018,189037
E09000014,Haringey,London Borough,2018,274240
E09000019,Islington,London Borough,2018,221453
E09000020,Kensington and Chelsea,London Borough,2018,148471
E09000022,Lambeth,London Borough,2018,328923
E09000023,Lewisham,London Borough,2018,303127
E09000025,Newham,London Borough,2018,344570
E09000028,Southwark,London Borough,2018,310492
E09000030,Tower Hamlets,London Borough,2018,300050
E09000032,Wandsworth,London Borough,2018,331069
E09000033,Westminster,London Borough,2018,209868
E09000002,Barking and Dagenham,London Borough,2018,216298
E09000003,Barnet,London Borough,2018,387574
E09000004,Bexley,London Borough,2018,245244
E09000005,Brent,London Borough,2018,345558
E09000006,Bromley,London Borough,2018,330367
E09000008,Croydon,London Borough,2018,386999
E09000009,Ealing,London Borough,2018,364208
E09000010,Enfield,London Borough,2018,334000
E09000011,Greenwich,London Borough,2018,285773
E09000015,Harrow,London Borough,2018,259861
E09000016,Havering,London Borough,2018,259229
E09000017,Hillingdon,London Borough,2018,302263
E09000018,Hounslow,London Borough,2018,285430
E09000021,Kingston upon Thames,London Borough,2018,168729
E09000024,Merton,London Borough,2018,216171
E09000026,Redbridge,London Borough,2018,308841
E09000027,Richmond upon Thames,London Borough,2018,197119
E09000029,Sutton,London Borough,2018,206286
E09000031,Waltham Forest,London Borough,2018,279795
E09000007,Camden,London Borough,2017,218833
E09000001,City of London,London Borough,2017,7877
E09000012,Hackney,London Borough,2017,264834
E09000013,Hammersmith and Fulham,London Borough,2017,187720
E09000014,Haringey,London Borough,2017,274463
E09000019,Islington,London Borough,2017,221535
E09000020,Kensington and Chelsea,London Borough,2017,149651
E09000022,Lambeth,London Borough,2017,327227
E09000023,Lewisham,London Borough,2017,300924
E09000025,Newham,London Borough,2017,338333
E09000028,Southwark,London Borough,2017,307640
E09000030,Tower Hamlets,London Borough,2017,293526
E09000032,Wandsworth,London Borough,2017,329493
E09000033,Westminster,London Borough,2017,210459
E09000002,Barking and Dagenham,London Borough,2017,214017
E09000003,Barnet,London Borough,2017,384117
E09000004,Bexley,London Borough,2017,244494
E09000005,Brent,London Borough,2017,342439
