BOCU,Year,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,FRAUD AND FORGERY,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,SEXUAL OFFENCES,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,Merge_Key
Haringey,2021,1692.0,2228.0,1154.0,0.0,306.0,194.0,1995.0,1170.0,794.0,5709.0,5066.0,7962.0,HARINGEY
Haringey,2022,1610.0,1801.0,1570.0,0.0,327.0,227.0,1870.0,1303.0,757.0,6365.0,4427.0,7804.0,HARINGEY
Haringey,2023,1810.0,1762.0,1711.0,0.0,321.0,262.0,1876.0,1532.0,717.0,7796.0,4182.0,7892.0,HARINGEY
Harrow,2021,942.0,1077.0,918.0,0.0,213.0,86.0,991.0,298.0,426.0,2618.0,2489.0,4637.0,HARROW
Harrow,2022,1026.0,1056.0,698.0,0.0,248.0,92.0,959.0,423.0,402.0,2926.0,2460.0,4776.0,HARROW
Harrow,2023,1008.0,1183.0,614.0,0.0,209.0,93.0,1039.0,401.0,363.0,3323.0,2500.0,4721.0,HARROW
Havering,2021,1237.0,1047.0,943.0,0.0,272.0,132.0,1260.0,330.0,594.0,3250.0,2249.0,5501.0,HAVERING
Havering,2022,1465.0,1090.0,963.0,0.0,301.0,188.0,1273.0,328.0,591.0,3740.0,3152.0,6093.0,HAVERING
Havering,2023,1490.0,1200.0,1136.0,0.0,293.0,216.0,1387.0,476.0,550.0,4596.0,3204.0,6525.0,HAVERING
Hillingdon,2021,1655.0,1292.0,1522.0,0.0,960.0,183.0,1926.0,405.0,651.0,4542.0,3591.0,7710.0,HILLINGDON
Hillingdon,2022,1769.0,1338.0,1163.0,0.0,1714.0,150.0,1925.0,444.0,704.0,5530.0,3914.0,7984.0,HILLINGDON
Hillingdon,2023,1859.0,1316.0,859.0,0.0,680.0,140.0,1814.0,482.0,610.0,5155.0,3669.0,7604.0,HILLINGDON
Hounslow,2021,1643.0,1438.0,1325.0,0.0,384.0,154.0,1844.0,376.0,642.0,4329.0,3048.0,7950.0,HOUNSLOW
Hounslow,2022,1686.0,1504.0,1154.0,0.0,377.0,166.0,1903.0,401.0,617.0,5121.0,3139.0,8203.0,HOUNSLOW
Hounslow,2023,2002.0,1839.0,986.0,0.0,377.0,197.0,1964.0,615.0,676.0,5881.0,3879.0,8794.0,HOUNSLOW
Islington,2021,1486.0,1776.0,1162.0,0.0,272.0,174.0,1909.0,1002.0,578.0,7200.0,2261.0,6512.0,ISLINGTON
Islington,2022,1539.0,1698.0,1200.0,0.0,337.0,183.0,2005.0,1043.0,639.0,8996.0,2488.0,6969.0,ISLINGTON
Islington,2023,1566.0,1902.0,1222.0,0.0,411.0,228.0,1954.0,1283.0,713.0,10006.0,2247.0,7063.0,ISLINGTON
Kensington and Chelsea,2021,981.0,1372.0,1082.0,0.0,195.0,115.0,1348.0,458.0,420.0,5596.0,2307.0,4256.0,KENSINGTON AND CHELSEA
Kensington and Chelsea,2022,1105.0,1339.0,908.0,0.0,164.0,97.0,1264.0,591.0,524.0,7763.0,2702.0,4362.0,KENSINGTON AND CHELSEA
Kensington and Chelsea,2023,1149.0,1517.0,835.0,0.0,150.0,143.0,1305.0,687.0,497.0,9180.0,2824.0,4498.0,KENSINGTON AND CHELSEA
Kingston upon Thames,2021,829.0,725.0,911.0,0.0,150.0,87.0,788.0,148.0,346.0,2720.0,1020.0,3255.0,KINGSTON UPON THAMES
Kingston upon Thames,2022,808.0,659.0,883.0,0.0,169.0,95.0,745.0,185.0,360.0,3180.0,1235.0,3212.0,KINGSTON UPON THAMES
Kingston upon Thames,2023,858.0,820.0,830.0,0.0,163.0,86.0,797.0,189.0,333.0,3599.0,1092.0,3322.0,KINGSTON UPON THAMES
Lambeth,2021,2072.0,2199.0,2285.0,0.0,409.0,399.0,2290.0,1197.0,1099.0,7293.0,2690.0,9284.0,LAMBETH
Lambeth,2022,2053.0,2213.0,1715.0,0.0,350.0,319.0,2324.0,1487.0,1006.0,9405.0,2696.0,9253.0,LAMBETH
Lambeth,2023,2206.0,2153.0,1400.0,0.0,359.0,301.0,2366.0,1870.0,1006.0,11255.0,2897.0,9653.0,LAMBETH
Lewisham,2021,2156.0,2038.0,1490.0,0.0,384.0,287.0,2146.0,658.0,757.0,4770.0,3515.0,8261.0,LEWISHAM
Lewisham,2022,2019.0,1903.0,1530.0,3.0,353.0,264.0,2021.0,681.0,859.0,5593.0,3701.0,8650.0,LEWISHAM
Lewisham,2023,2230.0,2032.0,1424.0,0.0,345.0,262.0,2132.0,915.0,884.0,6661.0,3195.0,9517.0,LEWISHAM
Merton,2021,973.0,923.0,653.0,1.0,225.0,97.0,1037.0,326.0,396.0,2488.0,1538.0,4207.0,MERTON
Merton,2022,995.0,959.0,590.0,0.0,226.0,100.0,991.0,499.0,406.0,2855.0,1884.0,4317.0,MERTON
Merton,2023,1101.0,885.0,518.0,0.0,168.0,111.0,1028.0,454.0,431.0,3286.0,1593.0,4452.0,MERTON
Newham,2021,2070.0,1588.0,2159.0,0.0,519.0,266.0,2124.0,1070.0,946.0,8212.0,3750.0,9494.0,NEWHAM
Newham,2022,2100.0,1638.0,2343.0,0.0,533.0,294.0,2022.0,1169.0,1021.0,8727.0,4977.0,9592.0,NEWHAM
Newham,2023,2109.0,1949.0,1755.0,0.0,504.0,260.0,2058.0,1501.0,964.0,11419.0,4769.0,10259.0,NEWHAM
Redbridge,2021,1528.0,1489.0,1341.0,1.0,337.0,162.0,1527.0,616.0,734.0,4801.0,3857.0,7500.0,REDBRIDGE
Redbridge,2022,1491.0,1405.0,1191.0,0.0,329.0,165.0,1446.0,686.0,688.0,5119.0,4209.0,7327.0,REDBRIDGE
Redbridge,2023,1629.0,1274.0,1006.0,0.0,337.0,147.0,1452.0,798.0,645.0,5293.0,3846.0,7835.0,REDBRIDGE
Richmond upon Thames,2021,917.0,1018.0,413.0,0.0,126.0,52.0,764.0,192.0,327.0,2448.0,1717.0,3008.0,RICHMOND UPON THAMES
Richmond upon Thames,2022,881.0,927.0,336.0,0.0,154.0,52.0,757.0,211.0,307.0,2748.0,2056.0,2988.0,RICHMOND UPON THAMES
Richmond upon Thames,2023,974.0,1266.0,316.0,0.0,137.0,49.0,860.0,260.0,278.0,2990.0,1963.0,2962.0,RICHMOND UPON THAMES
Southwark,2021,1864.0,2361.0,2198.0,0.0,363.0,300.0,2095.0,1074.0,868.0,8887.0,2800.0,8260.0,SOUTHWARK
Southwark,2022,1943.0,2506.0,1712.0,0.0,334.0,267.0,1968.0,1658.0,934.0,11635.0,2680.0,8143.0,SOUTHWARK
Southwark,2023,2175.0,2547.0,1478.0,0.0,291.0,279.0,2033.0,1969.0,932.0,13963.0,2660.0,8894.0,SOUTHWARK
Sutton,2021,1051.0,899.0,599.0,0.0,181.0,85.0,938.0,222.0,387.0,2096.0,1933.0,4389.0,SUTTON
Sutton,2022,1100.0,998.0,539.0,0.0,174.0,102.0,962.0,310.0,395.0,2565.0,1965.0,4238.0,SUTTON
Sutton,2023,1116.0,850.0,445.0,1.0,191.0,95.0,992.0,373.0,450.0,2600.0,1565.0,4451.0,SUTTON
Tower Hamlets,2021,2101.0,2404.0,2513.0,0.0,434.0,241.0,2355.0,966.0,880.0,7184.0,3334.0,9142.0,TOWER HAMLETS
Tower Hamlets,2022,1966.0,2196.0,2079.0,0.0,430.0,288.0,2227.0,937.0,960.0,8067.0,3696.0,9313.0,TOWER HAMLETS
Tower Hamlets,2023,2089.0,2508.0,2014.0,1.0,389.0,245.0,2620.0,1383.0,929.0,10513.0,3130.0,10167.0,TOWER HAMLETS
Waltham Forest,2021,1518.0,1284.0,1469.0,0.0,303.0,192.0,1542.0,727.0,576.0,4453.0,3372.0,6667.0,WALTHAM FOREST
Waltham Forest,2022,1540.0,1177.0,1496.0,0.0,315.0,216.0,1353.0,619.0,598.0,4810.0,3545.0,6643.0,WALTHAM FOREST
Waltham Forest,2023,1645.0,1357.0,1293.0,0.0,284.0,193.0,1437.0,741.0,611.0,5447.0,3426.0,6521.0,WALTHAM FOREST
Wandsworth,2021,1650.0,2219.0,1086.0,0.0,334.0,157.0,1871.0,587.0,804.0,5712.0,3145.0,7416.0,WANDSWORTH
Wandsworth,2022,1513.0,1782.0,1021.0,0.0,333.0,168.0,1664.0,673.0,748.0,5669.0,3301.0,7185.0,WANDSWORTH
Wandsworth,2023,1722.0,2221.0,883.0,0.0,313.0,161.0,1750.0,908.0,766.0,6641.0,3857.0,7373.0,WANDSWORTH
Westminster,2021,2197.0,2268.0,2902.0,0.0,346.0,325.0,3185.0,2127.0,1218.0,20983.0,3393.0,9822.0,CITY OF WESTMINSTER
Westminster,2022,2217.0,2822.0,3538.0,0.0,383.0,411.0,3383.0,3180.0,1443.0,42774.0,4054.0,10861.0,CITY OF WESTMINSTER
Westminster,2023,2325.0,3133.0,2710.0,0.0,400.0,471.0,3719.0,4135.0,1389.0,55839.0,4359.0,11329.0,CITY OF WESTMINSTER
