Sensitivity_Type,Scenario,Shock,District,Predicted_Average_Price_Growth,Predicted_Median_Price_Growth,Average_Growth_Change,Median_Growth_Change
Individuals_only,-10%,-0.1,BARKING AND DAGENHAM,0.028817975585012014,0.0466859195359783,0.003903365524768103,0.0010462469735877736
Individuals_only,-10%,-0.1,BARNET,-0.0002543599620982765,0.008270615270647725,0.007825359588149608,0.0
Individuals_only,-10%,-0.1,BEXLEY,0.02117573902374032,0.023969769466854113,0.0050934439036714185,0.004794498056199262
Individuals_only,-10%,-0.1,BRENT,0.006817203681013734,0.01570648530212189,0.006597848058875699,0.0005479489513577299
Individuals_only,-10%,-0.1,BROMLEY,0.013493217128370818,0.022034830877150084,0.007003802299207031,0.0015282778322240169
Individuals_only,-10%,-0.1,CAMDEN,-0.001961294087327982,-0.02836083937421361,0.004293226679756667,-4.7423024535784425e-05
Individuals_only,-10%,-0.1,CITY OF LONDON,0.019367399146594903,-0.029827067986726588,0.00038390988272835047,0.0
Individuals_only,-10%,-0.1,CITY OF WESTMINSTER,-0.05752321398450263,-0.03483153909039544,0.0039341431103032815,0.008068185270181077
Individuals_only,-10%,-0.1,CROYDON,0.03756890931459868,0.02369977697226879,0.008007595291976345,-3.469446951953614e-18
Individuals_only,-10%,-0.1,EALING,0.013249938278454054,0.018655703913066646,0.0071661065231562945,0.001263359494085136
Individuals_only,-10%,-0.1,ENFIELD,0.04127574599540142,0.021893841552486356,0.005724243548627626,0.0006505214220880219
Individuals_only,-10%,-0.1,GREENWICH,-0.0004308562517982939,0.010360135210924208,0.005970076871992743,-9.358853899064067e-05
Individuals_only,-10%,-0.1,HACKNEY,-0.0008739459973247871,0.004195589780927813,0.004518987664729275,0.002772900022451325
Individuals_only,-10%,-0.1,HAMMERSMITH AND FULHAM,-0.017253177088876175,-0.0002136038133641006,0.0038300486676923033,0.019825461132567425
Individuals_only,-10%,-0.1,HARINGEY,0.03629636726972199,0.01209389894127594,0.005007837141158808,0.0005532395844786101
Individuals_only,-10%,-0.1,HARROW,0.003427426393848129,0.014735637578953178,0.005304731676224163,0.002316456954673137
Individuals_only,-10%,-0.1,HAVERING,0.02411146058100924,0.02608068391065539,0.005125947006015784,0.004107006388547118
Individuals_only,-10%,-0.1,HILLINGDON,0.009455412790281531,0.01962594471401398,0.0062653515341351985,-3.469446951953614e-18
Individuals_only,-10%,-0.1,HOUNSLOW,0.0005113886794994183,0.018297677898131658,0.005747520418237189,0.0003080474769014477
Individuals_only,-10%,-0.1,ISLINGTON,0.007947928631378718,-0.016716670577907104,0.0043222787484826705,0.0015965195735563598
Individuals_only,-10%,-0.1,KENSINGTON AND CHELSEA,-0.004005147431850476,-0.034262337193268086,0.002622820764583457,0.000393794490066858
Individuals_only,-10%,-0.1,KINGSTON UPON THAMES,-0.020408817570246186,0.00928927472065042,0.0032171028395168028,0.00015284430814610332
Individuals_only,-10%,-0.1,LAMBETH,-0.00974875339394408,-0.005318585307506703,0.006671129701322739,0.000924906588960937
Individuals_only,-10%,-0.1,LEWISHAM,0.0035376072502061686,0.010203602718764929,0.005701424469191932,0.0005380687802383696
Individuals_only,-10%,-0.1,MERTON,-0.016465037600795384,0.01491188021551201,0.004620793156470938,0.002722470600418282
Individuals_only,-10%,-0.1,NEWHAM,0.032601892771199646,0.025813354081205154,0.006512980803567013,0.0004076963072374394
Individuals_only,-10%,-0.1,REDBRIDGE,0.014445693456570844,0.021594450352182364,0.005808124794331071,0.0
Individuals_only,-10%,-0.1,RICHMOND UPON THAMES,0.00945363275461939,-0.01754025411570485,0.003910654952921179,0.012503703169124001
Individuals_only,-10%,-0.1,SOUTHWARK,0.02652712537233619,-0.007079896536062901,0.006167490080814523,-0.0003162738175957894
Individuals_only,-10%,-0.1,SUTTON,0.041402864153243346,0.03313204144377817,0.004028377456861812,0.0054145439282983834
Individuals_only,-10%,-0.1,TOWER HAMLETS,-0.028992753745524222,-0.007313500206663772,0.006085616068950334,0.000112816596590847
Individuals_only,-10%,-0.1,WALTHAM FOREST,0.025819380170142556,0.022732473393792783,0.005494468095976521,0.0018284034290927988
Individuals_only,-10%,-0.1,WANDSWORTH,-0.0038553062157646823,-0.023440568935258255,0.007385071084778456,0.0008533311506633695
Income_only,-10%,-0.1,BARKING AND DAGENHAM,0.029214922998253824,0.04640447553486236,0.004300312938009913,0.0007648029724718411
Income_only,-10%,-0.1,BARNET,-0.0027631010929009877,0.008625756341910176,0.005316618457346897,0.0003551410712624506
Income_only,-10%,-0.1,BEXLEY,0.02099432454918297,0.023296069268618186,0.004912029429114069,0.004120797857963338
Income_only,-10%,-0.1,BRENT,0.00463190647980307,0.021564298727766305,0.004412550857665036,0.006405762377002145
Income_only,-10%,-0.1,BROMLEY,0.012181580573146512,0.022426073133144323,0.005692165743982725,0.0019195200882182566
Income_only,-10%,-0.1,CAMDEN,4.516567725331268e-05,0.011664160965443428,0.006299686444337961,0.03997757731512128
Income_only,-10%,-0.1,CITY OF LONDON,0.029415495445410555,-0.029827067986726585,0.010432006181544003,3.469446951953614e-18
Income_only,-10%,-0.1,CITY OF WESTMINSTER,-0.054468465545389325,-0.028796856944068586,0.006988891549416586,0.014102867416507927
Income_only,-10%,-0.1,CROYDON,0.0344412572567924,0.033574430649320086,0.00487994323417007,0.009874653677051298
